Title,Year,Directors,WatchedDate,Rating,Rating10
Fleabag,2016,"Phoebe Waller-Bridge, Harry Bradbeer, Tim Kirkby",2024-05-29,5.0,10
Attack on Titan: Chronicle,2020,"Masashi Koizuka, Tetsurō Araki",2022-01-03,4.0,8
Full Metal Jacket,1987,Stanley Kubrick,2021-11-10,2.0,4
The Lion King,1994,"Rob Minkoff, Roger Allers",2021-11-10,3.5,7
Mad Max: Fury Road,2015,George Miller,2021-11-10,5.0,10
